Episode,Title,Release Date,Release Year,Director,Runtime Minutes,Box Office Worldwide USD Millions,Rotten Tomatoes Score
IV,A New Hope,1977-05-25,1977,George Lucas,121,775,93
V,The Empire Strikes Back,1980-05-21,1980,Irvin Kershner,124,538,94
VI,Return of the Jedi,1983-05-25,1983,Richard Marquand,131,475,83
I,The Phantom Menace,1999-05-19,1999,George Lucas,136,1027,51
II,Attack of the Clones,2002-05-16,2002,George Lucas,142,656,66
III,Revenge of the Sith,2005-05-19,2005,George Lucas,140,868,80
VII,The Force Awakens,2015-12-18,2015,J.J. Abrams,138,2069,93
Anthology,Rogue One,2016-12-16,2016,Gareth Edwards,133,1058,84
VIII,The Last Jedi,2017-12-15,2017,Rian Johnson,152,1334,91
Anthology,Solo,2018-05-25,2018,Ron Howard,135,393,69
IX,The Rise of Skywalker,2019-12-20,2019,J.J. Abrams,142,1074,52
